"","id","weights","Region","State","Gender","SES","Age","Income","Expenses","Edu","Interest","KnowCat","PartyID","SupportPT","Ideology","VoteInt","PresPref","PresPref.rmdk","Strategic","PresPred_1","PresPred_2","PresPred_3","PredConf","IDParty","PartyID1","PartyID1_Other","IDParty2","PartyID2","PartyID2_Other","VoteInt1","VoteInt1_Other","VoteInt2","VoteInt2_Other","PresPref_Other","KB1c","KB2c","KB3c","KB4c","KB5c","KB6c","KB7c","KB8c","KB9c","KBpca"
"18",2727,2.17,"Nordeste","Sergipe","Male","C2",38,"R$1.200 – R$1.799",NA,"Colegial completo (3ª série do ensino médio)","Not at all","Highest",NA,"Don't Know","Don't Know","Null/Blank","Don't Know",NA,NA,"Henrique Meirelles (MDB)","Ciro Gomes (PDT)","Alvaro Dias (PODE)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Anularia o voto ou votaria em branco",NA,"","Incorrect","Incorrect","Incorrect","Correct","Correct","Correct","Correct","Correct","Correct",-0.94193979976481
"19",4967,2.13,"Sudeste","Rio de Janeiro","Male","D-E",28,"R$300 - R$599","Often","Colegial completo (3ª série do ensino médio)","Somewhat","Low",NA,"Neutral","Don't Know","Don't Know","Marina Silva (REDE)","Marina Silva (REDE)",1,"Ciro Gomes (PDT)","Marina Silva (REDE)","Henrique Meirelles (MDB)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"20",2464,1.93,"Nordeste","Alagoas","Female","C2",39,"R$1.200 – R$1.799","Often","Ensino universitário completo","Somewhat","Lowest","Partido Trabalhista Brasileiro (PTB)","Support Partially","Don't Know","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Geraldo Alckmin (PSDB)",1,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Somewhat","Não",NA,"","Sim","Partido Trabalhista Brasileiro (PTB)","","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Don't Know",0.565702602345422
"21",3509,1.93,"Nordeste","Pernambuco","Female","C2",36,"R$1.200 – R$1.799",NA,"Colegial completo (3ª série do ensino médio)","A little","Lowest",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Alvaro Dias (PODE)","Marina Silva (REDE)","Geraldo Alckmin (PSDB)","Not at all","Não",NA,"","Não",NA,"","Não sei","",NA,NA,"","Don't Know","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"22",3637,1.93,"Nordeste","Ceará","Female","C2",38,NA,"Rarely","Colegial completo (3ª série do ensino médio)","A little","Lowest",NA,"Don't Know","Don't Know","Abstain","Don't Know",NA,NA,"Ciro Gomes (PDT)","Marina Silva (REDE)","Jair Bolsonaro (PSL)","Not at all","Não",NA,"","Não",NA,"","Não sei","","Não iria votar",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Incorrect",0.648993056370565
"23",3289,1.89,"Sudeste","Espírito Santo","Female","D-E",28,"R$300 - R$599","Always","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Low",NA,"Neutral","Don't Know","Cabo Daciolo (PATRI)","Cabo Daciolo (PATRI)","Cabo Daciolo (PATRI)",0,"Ciro Gomes (PDT)","Jair Bolsonaro (PSL)","Marina Silva (REDE)","Somewhat","Não sei",NA,"","Sim",NA,"","Não sei","",NA,"Cabo Daciolo (PATRI)","Cabo Daciolo (PATRI)","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"24",1847,1.89,"Sudeste","Rio de Janeiro","Female","D-E",30,NA,NA,"Colegial incompleto (até 2ª série do ensino médio)","Not at all","Low",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","Marina Silva (REDE)","A little","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Incorrect","Correct",0.154794053010398
"25",1872,1.89,"Sudeste","Rio de Janeiro","Female","D-E",31,"R$1.200 – R$1.799","Always","Colegial completo (3ª série do ensino médio)","Not at all","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Geraldo Alckmin (PSDB)","Ciro Gomes (PDT)","Marina Silva (REDE)","Not at all","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Don't Know",0.648993056370565
"26",1968,1.89,"Sudeste","Minas Gerais","Female","D-E",27,"R$900 – R$1.199","Always","Ginásio incompleto (até 7ª série do ensino fundamental)","Not at all","Lowest",NA,"Oppose Partially","Don't Know","Abstain","Don't Know",NA,NA,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Não iria votar",NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Incorrect",0.565702602345422
"27",4282,1.87,"Norte","Pará","Female","D-E",24,"R$300 - R$599","Sometimes","Ensino universitário incompleto ou especialização (técnico após ensino médio)","A little","Lowest","Partido dos Trabalhadores (PT)","Support Partially","Don't Know","Fernando Haddad (PT)","Fernando Haddad (PT)","Fernando Haddad (PT)",0,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","João Amoêdo (NOVO)","A little","Não",NA,"","Sim","Partido dos Trabalhadores (PT)","","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Don't Know",0.648993056370565
"28",4415,1.64,"Sul","Santa Catarina","Male","D-E",25,"R$1.200 – R$1.799","Always","Ginásio completo (8ª série do ensino fundamental)","A little","Low",NA,"Oppose Totally","Don't Know","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",0,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Não sei","","Jair Bolsonaro (PSL)",NA,"","Correct","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.121418940842445
"29",4908,1.59,"Sudeste","São Paulo","Male","C2",38,"R$1.800 – R$3.399","Sometimes","Colegial completo (3ª série do ensino médio)","A little","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"João Amoêdo (NOVO)","Alvaro Dias (PODE)","Henrique Meirelles (MDB)","Not at all","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"30",1396,1.46,"Sul","Paraná","Female","D-E",27,"R$900 – R$1.199","Always","Colegial completo (3ª série do ensino médio)","Not at all","Lowest",NA,"Neutral","Don't Know","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",0,"Jair Bolsonaro (PSL)","Marina Silva (REDE)","Alvaro Dias (PODE)","A little","Não",NA,"","Não",NA,"","Não sei","","Jair Bolsonaro (PSL)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Don't Know",0.648993056370565
"31",1711,1.46,"Sul","Santa Catarina","Female","D-E",33,"R$300 - R$599","Always","Ginásio incompleto (até 7ª série do ensino fundamental)","Not at all","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Geraldo Alckmin (PSDB)","Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","A little","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"32",1733,1.46,"Sul","Rio Grande do Sul","Female","D-E",29,"R$300 - R$599","Rarely","Ginásio incompleto (até 7ª série do ensino fundamental)","Not at all","Lowest",NA,"Don't Know","Don't Know","Don't Know","Don't Know",NA,NA,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","A little","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Incorrect",0.648993056370565
"33",1834,1.46,"Sul","Rio Grande do Sul","Female","D-E",25,"R$1.200 – R$1.799","Always","Colegial completo (3ª série do ensino médio)","Very","Low","Partido Social Liberal (PSL)","Support Partially","Center","João Amoêdo (NOVO)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",1,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Somewhat","Sim","Partido Social Liberal (PSL)","",NA,NA,"","Não sei","","João Amoêdo (NOVO)",NA,"","Correct","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.0381284868173019
"34",1600,1.42,"Sudeste","Minas Gerais","Female","C2",35,"R$900 – R$1.199","Always","Colegial incompleto (até 2ª série do ensino médio)","A little","Lowest","Partido dos Trabalhadores (PT)","Neutral","Don't Know","Fernando Haddad (PT)","Fernando Haddad (PT)","Fernando Haddad (PT)",0,"Fernando Haddad (PT)","Alvaro Dias (PODE)","Jair Bolsonaro (PSL)","Very","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Incorrect",0.565702602345422
"35",4902,1.4,"Nordeste","Bahia","Male","C1",39,"R$3.400 – R$9.999","Never","Ensino universitário incompleto ou especialização (técnico após ensino médio)","A little","Highest","Partido Verde (PV)","Neutral","Center","Don't Know","João Amoêdo (NOVO)","João Amoêdo (NOVO)",1,"Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Geraldo Alckmin (PSDB)","Somewhat","Não",NA,"","Sim","Partido Verde (PV)","","Não sei","","Não sei",NA,"","Correct","Incorrect","Correct","Correct","Correct","Correct","Correct","Correct","Correct",-1.53722986210125
"36",3908,1.39,"Nordeste","Pernambuco","Male","D-E",22,"R$600 – R$899","Often","Colegial completo (3ª série do ensino médio)","A little","Lowest","Partido dos Trabalhadores (PT)","Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Fernando Haddad (PT)","Geraldo Alckmin (PSDB)","Henrique Meirelles (MDB)","Somewhat","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Não sei","","Não sei",NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.616024387444372
"37",4065,1.31,"Nordeste","Bahia","Male","C2",30,"Menos de R$300","Always","Colegial completo (3ª série do ensino médio)","Not at all","Low",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Ciro Gomes (PDT)","Henrique Meirelles (MDB)","Fernando Haddad (PT)","A little","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.0381284868173019
"38",3576,1.24,"Nordeste","Sergipe","Female","D-E",19,"R$600 – R$899","Always","Colegial completo (3ª série do ensino médio)","Very","Low",NA,"Support Partially","Don't Know","Don't Know","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",1,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Henrique Meirelles (MDB)","Somewhat","Não sei",NA,"","Sim",NA,"","Não sei","","Não sei",NA,"","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"39",1065,1.23,"Sul","Rio Grande do Sul","Male","C2",43,"R$1.200 – R$1.799","Always","Colegial incompleto (até 2ª série do ensino médio)","A little","High",NA,"Neutral","Don't Know","Don't Know","João Amoêdo (NOVO)","João Amoêdo (NOVO)",1,"Geraldo Alckmin (PSDB)","Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Very","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Incorrect","Correct","Correct",-0.397548282089463
"40",706,1.16,"Nordeste","Pernambuco","Female","C2",28,"R$900 – R$1.199","Sometimes","Ensino universitário completo","Somewhat","Lowest",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Geraldo Alckmin (PSDB)","João Amoêdo (NOVO)","Marina Silva (REDE)","Not at all","Não sei",NA,"","Não sei",NA,"","Não sei","","Não sei",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Don't Know","Correct","Correct",0.616024387444372
"41",2331,1.16,"Nordeste","Ceará","Female","C2",33,NA,"Always","Ginásio completo (8ª série do ensino fundamental)","Not at all","Lowest","Partido dos Trabalhadores (PT)","Support Partially","Don't Know","Fernando Haddad (PT)","Don't Know",NA,NA,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","A little","Não",NA,"","Sim","Partido dos Trabalhadores (PT)","","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Incorrect",0.648993056370565
"42",2954,1.16,"Nordeste","Bahia","Female","C2",28,"R$600 – R$899","Sometimes",NA,"A little","Low",NA,"Neutral","Right","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)","Jair Bolsonaro (PSL)",0,"Henrique Meirelles (MDB)","Alvaro Dias (PODE)","Jair Bolsonaro (PSL)","Very","Não",NA,"","Não",NA,"","Não sei","","Jair Bolsonaro (PSL)",NA,"","Don't Know","Incorrect","Incorrect","Don't Know","Don't Know","Don't Know","Correct","Correct","Correct",0.532733933419229
"43",3937,1.16,"Nordeste","Bahia","Female","C2",31,"R$900 – R$1.199","Sometimes","Colegial completo (3ª série do ensino médio)","A little","Low",NA,"Support Partially","Don't Know","Fernando Haddad (PT)","Don't Know",NA,NA,"Fernando Haddad (PT)","Jair Bolsonaro (PSL)","Ciro Gomes (PDT)","Very","Não",NA,"","Não",NA,"","Não sei","","Fernando Haddad (PT)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Incorrect",0.0467353794135136
"44",4482,1.14,"Nordeste","Paraíba","Male","B2",61,NA,"Sometimes","Ensino universitário completo","Very","Low","Democratas (DEM)","Neutral","Far-left","Ciro Gomes (PDT)","Ciro Gomes (PDT)","Ciro Gomes (PDT)",0,"Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Ciro Gomes (PDT)","Not at all","Não sei",NA,"","Sim","Democratas (DEM)","","Não sei","","Ciro Gomes (PDT)",NA,"","Correct","Incorrect","Incorrect","Don't Know","Incorrect","Don't Know","Don't Know","Correct","Don't Know",0.154387609768638
"45",2895,1.09,"Sul","Santa Catarina","Female","C2",38,"R$1.200 – R$1.799","Always","Ginásio completo (8ª série do ensino fundamental)","A little","Low","Partido dos Trabalhadores (PT)","Support Totally","Don't Know","Don't Know","Fernando Haddad (PT)","Fernando Haddad (PT)",1,"Alvaro Dias (PODE)","Jair Bolsonaro (PSL)","Geraldo Alckmin (PSDB)","Not at all","Sim","Partido dos Trabalhadores (PT)","",NA,NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Don't Know","Incorrect","Don't Know","Correct","Correct","Correct",0.0381284868173019
"46",4284,1.09,"Sul","Rio Grande do Sul","Female","C2",41,"R$600 – R$899","Sometimes","Ginásio incompleto (até 7ª série do ensino fundamental)","A little","Lowest","Partido Trabalhista Brasileiro (PTB)","Support Partially","Center","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)","Henrique Meirelles (MDB)",0,"Marina Silva (REDE)","Henrique Meirelles (MDB)","Ciro Gomes (PDT)","A little","Não sei",NA,"","Sim","Partido Trabalhista Brasileiro (PTB)","","Não sei","","Henrique Meirelles (MDB)",NA,"","Don't Know","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Incorrect",0.648993056370565
"47",1810,1.03,"Sudeste","São Paulo","Male","C1",36,NA,"Rarely","Ensino universitário incompleto ou especialização (técnico após ensino médio)","A little","Highest",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Ciro Gomes (PDT)","Jair Bolsonaro (PSL)","Fernando Haddad (PT)","Somewhat","Não sei",NA,"","Não sei",NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Incorrect","Don't Know","Correct","Correct","Correct","Correct",-0.502397863985419
"48",3856,1.03,"Sudeste","Rio de Janeiro","Male","C1",36,"R$3.400 – R$9.999","Always","Colegial completo (3ª série do ensino médio)","Somewhat","Low",NA,"Neutral","Don't Know","Don't Know","Don't Know",NA,NA,"Alvaro Dias (PODE)","Ciro Gomes (PDT)","Henrique Meirelles (MDB)","Very","Não",NA,"","Não",NA,"","Não sei","","Não sei",NA,"","Correct","Don't Know","Incorrect","Don't Know","Don't Know","Don't Know","Incorrect","Correct","Correct",0.121418940842445
"49",4579,1.03,"Sudeste","Rio de Janeiro","Male","C1",35,"R$1.800 – R$3.399","Always","Ensino universitário incompleto ou especialização (técnico após ensino médio)","Not at all","Low",NA,"Neutral","Don't Know","Null/Blank","Don't Know",NA,NA,"Alvaro Dias (PODE)","Henrique Meirelles (MDB)","Jair Bolsonaro (PSL)","Somewhat","Não",NA,"","Não",NA,"","Não sei","","Anularia o voto ou votaria em branco",NA,"","Incorrect","Incorrect","Incorrect","Don't Know","Correct","Don't Know","Correct","Correct","Correct",0.0137667104873203
